Employee_ID,Age,Gender,Industry,Work_Location,Stress_Level_Numeric,Work_Hours_Per_Week,Access_to_Mental_Health_Resources,Work_Life_Balance_Rating,Mental_Health_Risk,Sleep_Hours,Productivity_Score
1877,23,Female,Marketing,Hybrid,3.04,53,No,7.86,Low,4.2,5.68
1939,25,Female,Engineering,Hybrid,8.93,54,No,2.81,High,6.0,2.19
1951,22,Female,Support,No,4.0,55,Yes,4.86,Low,6.1,3.54
1957,22,Female,HR,Yes,6.08,48,No,9.42,Medium,6.6,8.07
2065,23,Female,Engineering,No,3.18,31,No,8.97,Low,8.5,4.09
2067,26,Male,Marketing,No,9.13,46,Yes,2.22,High,4.3,1.48
2097,25,Female,Marketing,No,4.48,33,Yes,4.11,Low,7.8,2.57
2294,24,Female,Marketing,No,6.7,42,No,8.24,Medium,6.2,3.13
2324,26,Male,HR,No,5.12,53,No,7.02,Medium,5.6,9.03
2393,25,Male,HR,Hybrid,6.99,35,Yes,4.93,Medium,5.7,6.89
2520,23,Female,HR,Hybrid,7.9,32,No,7.85,Medium,4.2,9.34
2529,23,Female,HR,No,2.11,36,Yes,9.17,Low,7.3,4.92
2570,27,Male,HR,Hybrid,1.76,39,No,4.75,Low,5.8,2.29
2770,23,Female,HR,Hybrid,2.21,46,Yes,2.56,Low,7.4,5.27
2833,22,Male,Engineering,Hybrid,9.19,57,No,9.32,High,7.1,8.36
2916,27,Female,Support,Hybrid,1.18,51,Yes,1.6,Low,4.2,8.22
2919,23,Male,IT,Yes,2.11,38,Yes,9.09,Low,4.2,8.36
3018,22,Male,Support,Hybrid,6.68,47,Yes,6.8,Medium,4.1,8.69
3043,27,Female,Marketing,Hybrid,3.71,45,No,8.33,Low,6.5,3.06
3050,26,Male,HR,Hybrid,8.56,51,Yes,2.24,High,6.2,8.19
3072,25,Male,IT,Hybrid,2.53,47,Yes,1.98,Low,5.2,8.25
3234,23,Female,Marketing,Yes,9.99,31,No,1.96,High,7.3,4.12
3353,27,Male,Sales,Hybrid,8.63,51,Yes,2.86,High,7.2,9.06
3395,27,Male,Support,Hybrid,6.79,31,Yes,5.82,Medium,6.4,7.3
3420,26,Female,IT,Yes,7.93,50,Yes,1.04,Medium,6.8,7.92
3449,23,Female,IT,Hybrid,9.84,31,Yes,2.04,High,8.8,1.57
3508,24,Male,Support,No,7.02,58,Yes,7.22,Medium,5.1,9.03
3520,27,Female,Sales,No,6.25,33,Yes,7.71,Medium,6.5,6.62
3537,26,Female,HR,Yes,5.82,38,No,1.84,Medium,6.9,6.01
3672,26,Female,IT,No,6.74,57,Yes,3.59,Medium,6.5,5.38
3685,22,Female,Support,Yes,5.29,55,No,3.75,Medium,8.3,6.64
3770,23,Female,Support,No,3.15,57,Yes,3.97,Low,7.7,5.3
3829,24,Male,Engineering,No,9.66,33,No,2.04,High,8.5,8.56
3874,27,Male,Support,Yes,5.5,41,Yes,3.32,Medium,6.6,4.69
3905,22,Female,Marketing,Yes,8.82,53,Yes,3.08,High,5.8,9.57
3971,24,Female,Engineering,No,2.39,31,Yes,3.5,Low,7.1,7.18
1014,23,Female,Sales,Yes,9.45,50,No,8.24,High,8.8,1.7
1034,25,Female,IT,Hybrid,8.39,44,Yes,8.06,High,4.9,5.21
1051,25,Female,HR,Yes,6.48,32,No,8.23,Medium,9.0,7.4
1077,22,Male,Sales,Yes,7.47,35,No,9.5,Medium,7.6,7.75
1118,25,Male,IT,No,7.47,57,Yes,2.87,Medium,6.9,4.81
1161,23,Male,Support,Yes,5.5,39,No,1.82,Medium,6.0,7.19
1401,23,Female,HR,Yes,6.8,56,Yes,1.19,Medium,4.1,9.92
1501,23,Female,IT,Yes,4.82,34,Yes,6.24,Low,8.7,8.18
1522,24,Male,Engineering,Yes,4.31,48,No,2.64,Low,5.2,3.08
1625,22,Male,IT,Hybrid,4.32,37,Yes,4.84,Low,8.8,9.57
1751,25,Female,Engineering,Hybrid,9.32,47,No,8.39,High,4.4,8.83
1761,27,Female,HR,Hybrid,8.46,39,Yes,2.26,High,6.2,6.74
1770,27,Female,Support,Hybrid,7.65,34,Yes,2.85,Medium,6.1,2.56
1800,27,Male,HR,Hybrid,2.08,36,No,5.94,Low,4.2,4.77
1896,25,Male,Support,Yes,3.1,45,Yes,6.71,Low,8.8,7.17
1900,26,Male,Support,Yes,6.08,41,No,2.61,Medium,7.8,7.65
1922,26,Female,Engineering,Hybrid,6.91,46,Yes,8.47,Medium,8.0,5.37
2018,24,Male,Engineering,Yes,3.19,45,Yes,4.24,Low,6.5,1.35
2104,27,Male,HR,Hybrid,8.91,53,No,4.06,High,7.2,8.81
2283,27,Female,Marketing,No,2.23,49,No,5.88,Low,6.6,4.01
2310,24,Male,Marketing,Yes,7.97,48,No,9.47,Medium,7.1,4.55
2376,27,Male,Sales,Yes,3.29,30,No,4.57,Low,8.8,5.42
2423,25,Female,IT,No,2.68,55,Yes,8.22,Low,7.2,2.92
2473,24,Female,HR,Hybrid,2.37,57,No,3.14,Low,7.4,4.5
2538,27,Male,Sales,No,8.34,30,No,9.74,High,5.9,3.42
2654,22,Female,Sales,Yes,5.55,35,Yes,2.71,Medium,8.1,7.46
2693,22,Female,Engineering,Yes,9.27,56,No,8.03,High,5.7,5.51
2698,26,Female,Engineering,Hybrid,1.33,43,Yes,8.41,Low,6.8,3.83
2903,25,Male,HR,No,6.95,41,No,1.04,Medium,5.1,2.46
2929,26,Male,Marketing,Hybrid,9.78,56,Yes,1.48,High,6.5,6.35
2967,23,Male,HR,No,4.67,48,Yes,3.85,Low,5.1,6.04
2977,25,Female,Engineering,No,7.63,57,No,9.15,Medium,7.3,2.96
3182,25,Male,Engineering,Yes,7.36,59,Yes,4.66,Medium,6.4,3.37
3337,27,Female,Sales,No,4.1,56,Yes,1.56,Low,6.1,6.1
3368,25,Male,Sales,Yes,2.79,52,No,7.77,Low,5.7,4.05
3507,24,Male,Engineering,Yes,2.89,47,Yes,8.65,Low,7.3,4.35
3513,22,Male,Support,No,4.52,49,No,4.14,Low,4.1,7.68
3597,24,Male,Engineering,Yes,9.78,39,Yes,6.87,High,6.7,7.64
3716,27,Male,Sales,Yes,9.41,44,Yes,7.38,High,8.6,5.97
3935,26,Male,Sales,No,1.72,30,No,7.68,Low,5.6,4.78
1107,26,Female,Marketing,Yes,8.14,33,No,2.62,High,8.0,8.16
1131,27,Male,Engineering,Hybrid,7.23,53,Yes,7.89,Medium,4.8,5.84
1140,22,Female,HR,Hybrid,3.08,42,No,9.75,Low,5.4,7.44
1156,23,Male,Marketing,No,8.11,44,No,7.89,High,5.0,8.81
1213,23,Female,Support,Hybrid,2.47,38,No,1.47,Low,5.5,1.55
1252,24,Female,Sales,Hybrid,1.46,42,Yes,6.86,Low,6.1,9.21
1324,23,Female,HR,Hybrid,9.8,36,No,9.94,High,6.8,1.81
1338,27,Male,HR,Yes,9.7,34,No,2.78,High,7.0,3.01
1529,24,Female,Engineering,Yes,4.36,45,No,4.33,Low,7.1,6.76
1636,24,Male,Engineering,Yes,1.51,49,No,8.52,Low,7.5,6.63
1648,23,Male,Engineering,Yes,5.08,47,Yes,3.66,Medium,7.6,9.26
1702,27,Male,Marketing,Hybrid,3.09,37,Yes,9.34,Low,6.0,8.41
1704,26,Male,Sales,No,3.62,58,No,7.52,Low,8.5,5.2
1789,25,Female,Marketing,Yes,4.48,31,Yes,4.22,Low,6.5,6.53
2008,22,Male,Engineering,Yes,9.99,51,No,2.79,High,7.0,7.35
2071,24,Female,Support,Yes,6.73,50,Yes,6.8,Medium,7.6,2.28
2232,23,Male,HR,Hybrid,8.64,34,No,2.96,High,5.9,6.2
2255,25,Female,Engineering,Yes,8.62,58,No,3.64,High,5.0,7.41
2389,25,Female,HR,Hybrid,9.96,30,No,8.0,High,5.4,6.14
2446,27,Male,IT,Yes,5.14,31,No,3.45,Medium,6.8,1.72
2448,26,Male,HR,Yes,2.25,41,No,7.01,Low,6.4,8.74
2450,22,Male,Support,Yes,4.62,30,Yes,8.91,Low,6.6,1.11
2470,24,Female,Engineering,No,9.31,50,Yes,1.92,High,7.9,1.72
2552,27,Female,Sales,No,6.95,35,No,6.59,Medium,8.2,7.85
2663,27,Female,Support,Hybrid,5.41,33,No,4.18,Medium,5.5,9.63
2818,25,Female,HR,Yes,8.32,52,No,2.2,High,8.5,7.76
2862,26,Female,Marketing,No,2.11,49,No,8.92,Low,5.6,2.0
2917,23,Female,Engineering,No,1.5,42,Yes,1.87,Low,5.4,4.86
2972,22,Female,Support,No,9.66,38,No,1.52,High,8.4,3.88
3002,23,Male,IT,No,5.32,52,No,9.65,Medium,5.2,2.13
3020,24,Male,Sales,Hybrid,1.31,32,Yes,6.24,Low,4.6,7.53
3165,26,Male,Sales,Hybrid,7.43,53,Yes,7.74,Medium,8.1,6.25
3257,22,Female,Engineering,No,1.77,58,No,7.66,Low,7.1,1.18
3259,24,Male,HR,Yes,1.99,48,Yes,4.79,Low,5.4,8.93
3260,22,Female,IT,Hybrid,9.6,35,Yes,1.79,High,4.9,6.12
3285,27,Male,Sales,Hybrid,2.9,46,Yes,4.71,Low,7.2,2.04
3305,25,Female,Sales,No,4.74,54,Yes,6.03,Low,8.0,2.22
3445,22,Male,IT,No,8.01,36,Yes,9.8,High,7.2,2.71
3487,26,Female,Marketing,Yes,5.7,55,No,2.49,Medium,6.5,3.29
3502,27,Male,Engineering,Yes,6.76,35,Yes,7.42,Medium,5.6,1.48
3541,25,Female,Marketing,No,9.23,48,Yes,8.57,High,5.7,8.58
3552,27,Male,HR,Yes,5.59,33,No,2.87,Medium,7.4,9.61
3591,27,Female,Engineering,No,6.45,42,Yes,2.1,Medium,7.8,6.5
3751,22,Male,Sales,No,5.76,47,Yes,2.13,Medium,7.7,1.39
3771,25,Male,Marketing,Hybrid,5.03,32,No,7.72,Medium,8.9,5.01
3980,24,Female,Support,Hybrid,2.71,50,Yes,6.39,Low,8.6,9.9
1101,22,Female,Engineering,Yes,1.29,36,No,6.26,Low,8.2,7.85
1143,24,Female,Marketing,Yes,4.79,32,Yes,5.43,Low,7.2,3.84
1157,24,Female,Sales,Yes,3.11,31,No,5.52,Low,5.1,4.52
1195,24,Male,Sales,Hybrid,4.22,41,No,6.38,Low,4.2,7.69
1223,24,Male,Marketing,Yes,3.62,39,Yes,7.63,Low,4.9,1.62
1395,22,Female,IT,No,7.85,46,Yes,7.56,Medium,8.4,1.93
1528,22,Female,Engineering,Hybrid,4.27,30,Yes,1.2,Low,5.3,3.22
1585,26,Female,IT,Hybrid,5.5,34,Yes,4.53,Medium,8.0,2.94
1638,22,Female,Sales,No,3.9,45,Yes,3.5,Low,6.2,8.51
1676,27,Male,Marketing,Yes,1.27,45,Yes,2.01,Low,7.5,1.52
1769,27,Female,Marketing,No,2.3,52,No,7.79,Low,5.5,6.11
1823,23,Male,Sales,No,6.36,32,No,1.99,Medium,8.5,3.24
1825,23,Male,IT,Yes,8.54,43,No,2.61,High,7.2,3.25
1827,22,Male,IT,No,2.63,43,No,3.48,Low,4.2,8.38
1880,27,Male,HR,Hybrid,1.63,35,No,3.3,Low,5.1,6.02
1911,26,Female,IT,Yes,5.56,57,No,2.11,Medium,5.0,2.08
1915,23,Male,Engineering,Hybrid,9.02,30,No,5.88,High,4.7,8.7
1927,27,Female,HR,Hybrid,2.75,55,Yes,7.59,Low,4.7,6.73
2014,25,Male,Sales,Hybrid,2.95,49,Yes,7.78,Low,5.4,1.44
2031,22,Female,Marketing,No,4.54,46,Yes,5.3,Low,8.6,9.36
2250,22,Male,Sales,Yes,1.9,31,Yes,2.66,Low,4.4,9.93
2282,24,Male,Support,Hybrid,8.11,41,No,3.38,High,8.4,8.39
2284,26,Male,Sales,No,4.26,49,No,4.7,Low,6.0,7.35
2400,22,Male,HR,No,7.39,40,No,6.61,Medium,8.8,9.4
2438,24,Male,Engineering,No,1.51,50,No,1.65,Low,4.6,9.44
2555,24,Female,Sales,Hybrid,6.69,41,No,6.67,Medium,4.3,4.56
2591,25,Female,Support,Yes,1.04,50,No,1.07,Low,4.9,1.04
2674,27,Female,Engineering,Yes,5.36,43,No,7.52,Medium,5.6,2.34
2715,22,Female,Support,Hybrid,2.31,42,No,9.92,Low,4.7,6.26
2733,25,Male,HR,No,5.27,53,No,8.05,Medium,7.9,1.55
2806,25,Female,Marketing,Yes,9.85,52,No,3.74,High,5.2,3.94
2831,25,Male,HR,Hybrid,9.11,41,No,1.91,High,8.1,4.84
2851,25,Female,Marketing,Yes,1.08,56,Yes,6.3,Low,8.8,1.12
2890,25,Male,HR,No,1.34,51,No,8.15,Low,8.5,7.48
2913,24,Female,Support,No,2.31,32,No,3.02,Low,6.3,7.22
3012,23,Female,Engineering,Hybrid,5.58,49,No,7.35,Medium,7.3,3.68
3088,26,Male,Sales,Yes,5.08,49,Yes,4.55,Medium,6.3,2.77
3098,22,Female,HR,No,3.39,39,No,7.09,Low,7.4,1.55
3112,25,Male,Sales,No,9.34,38,Yes,3.38,High,5.9,4.7
3124,23,Male,Marketing,Yes,2.55,40,Yes,8.13,Low,6.6,7.02
3154,26,Female,Marketing,Hybrid,4.25,51,Yes,5.59,Low,4.1,1.48
3270,23,Male,Engineering,Hybrid,9.53,39,No,8.54,High,7.2,4.22
3312,25,Female,Support,Hybrid,9.66,59,Yes,5.32,High,4.8,1.83
3348,26,Female,HR,No,9.95,50,Yes,6.89,High,5.1,8.11
3448,26,Male,Engineering,Yes,1.64,47,Yes,1.57,Low,4.8,3.59
3483,27,Male,IT,No,1.11,43,Yes,4.09,Low,5.5,5.93
3578,26,Female,HR,Hybrid,4.61,36,No,1.58,Low,7.4,5.62
3675,24,Female,Engineering,No,1.05,52,No,2.74,Low,7.9,7.07
3783,23,Female,Engineering,Yes,5.6,41,No,3.17,Medium,6.1,8.29
3842,25,Female,Engineering,No,1.88,51,No,8.16,Low,8.5,4.69
3844,22,Female,IT,Yes,4.8,34,No,4.89,Low,8.3,1.66
3865,26,Female,HR,Yes,4.95,49,No,2.29,Low,5.2,2.72
3870,25,Male,HR,No,8.05,36,No,5.63,High,4.9,9.14
3882,27,Male,IT,No,7.21,52,Yes,7.53,Medium,7.1,2.24
1048,25,Male,Sales,Hybrid,9.06,46,No,9.59,High,5.0,9.02
1049,23,Female,Engineering,Hybrid,4.46,59,Yes,3.75,Low,7.6,4.12
1174,25,Male,Marketing,Hybrid,9.67,46,No,3.67,High,4.9,8.23
1187,27,Male,Sales,No,8.65,58,No,3.32,High,8.3,3.98
1270,26,Female,Marketing,No,3.19,46,Yes,2.06,Low,4.9,9.24
1397,25,Female,Sales,Hybrid,9.64,38,No,3.5,High,6.0,6.34
1508,22,Female,Engineering,Hybrid,3.75,33,No,6.43,Low,8.5,7.23
1515,27,Female,Engineering,Yes,8.26,59,Yes,3.87,High,6.8,5.57
1535,27,Male,Support,Yes,6.11,30,Yes,2.82,Medium,6.5,9.23
1610,26,Female,Sales,No,5.74,35,Yes,9.27,Medium,7.5,4.76
1612,26,Male,IT,Yes,2.07,31,No,1.76,Low,5.1,1.62
1614,24,Male,Marketing,Yes,1.72,42,No,6.83,Low,7.7,2.4
1689,24,Female,Support,Hybrid,5.25,31,No,6.59,Medium,6.6,8.11
1691,24,Female,Marketing,Hybrid,7.12,51,Yes,8.96,Medium,7.9,5.07
1703,22,Male,Sales,No,1.44,30,Yes,7.82,Low,8.5,1.94
1718,22,Male,IT,Hybrid,6.25,30,No,9.82,Medium,8.3,1.93
1771,25,Male,HR,Yes,8.23,38,Yes,8.74,High,5.3,2.47
1802,25,Male,Support,Yes,8.27,34,No,7.12,High,5.3,6.22
1820,26,Female,Marketing,Yes,2.22,48,No,5.69,Low,6.9,3.23
1839,26,Male,IT,Hybrid,8.72,46,No,2.05,High,6.9,6.27
1881,24,Male,Support,Hybrid,2.82,50,Yes,8.11,Low,6.2,6.42
2130,23,Male,HR,Yes,9.28,36,No,5.99,High,6.9,5.26
2268,27,Female,Support,No,7.84,53,No,6.7,Medium,5.9,2.39
2285,26,Male,Sales,Yes,5.18,50,Yes,4.02,Medium,6.8,7.3
2449,24,Male,Marketing,No,7.21,50,Yes,8.71,Medium,7.8,9.3
2551,25,Male,Marketing,Yes,9.61,30,No,3.43,High,8.6,7.76
2605,24,Male,Support,No,3.62,30,No,2.73,Low,8.6,9.35
2672,22,Female,HR,Hybrid,2.13,31,No,2.74,Low,6.8,2.12
2746,22,Male,Marketing,Yes,7.21,54,Yes,5.25,Medium,5.1,6.42
2772,24,Female,Support,Yes,8.1,53,Yes,4.19,High,7.0,3.92
2898,24,Female,Engineering,No,7.13,52,No,3.28,Medium,4.6,2.15
2902,27,Female,Sales,Hybrid,4.08,33,Yes,5.13,Low,8.5,3.32
2914,24,Female,Engineering,Yes,8.72,55,No,8.4,High,5.6,6.49
2974,24,Female,Marketing,Hybrid,6.05,42,Yes,7.63,Medium,4.6,3.51
3071,25,Male,HR,Yes,5.19,54,Yes,5.65,Medium,5.4,9.4
3247,24,Male,Sales,Yes,8.83,46,Yes,3.0,High,4.4,1.95
3366,27,Male,Marketing,Hybrid,4.73,44,No,5.16,Low,4.9,1.64
3451,23,Male,Sales,Yes,8.67,43,Yes,9.51,High,5.9,4.3
3504,23,Male,Engineering,Yes,2.61,33,No,7.46,Low,5.4,8.3
3546,26,Male,Marketing,Hybrid,5.82,44,Yes,3.53,Medium,5.9,9.85
3614,27,Male,HR,Yes,6.73,35,Yes,4.7,Medium,7.7,5.17
3658,25,Male,Marketing,Hybrid,2.02,47,No,1.86,Low,6.3,3.06
3796,27,Male,IT,No,9.78,59,No,3.61,High,6.7,1.91
3801,24,Male,Engineering,Yes,5.29,35,No,5.94,Medium,7.0,5.22
3828,24,Male,Engineering,Yes,6.93,59,Yes,5.72,Medium,7.6,7.73
3904,25,Female,HR,Yes,3.45,48,Yes,6.81,Low,8.4,2.06
1012,24,Male,Marketing,Hybrid,9.83,34,Yes,3.77,High,6.6,6.31
1190,24,Male,HR,Yes,4.48,50,No,9.88,Low,5.5,7.45
1272,25,Male,Support,Hybrid,5.31,43,No,7.06,Medium,6.0,2.15
1299,23,Female,HR,Hybrid,9.54,43,No,3.66,High,4.1,4.24
1362,26,Female,Engineering,Yes,2.88,38,Yes,4.44,Low,4.1,8.98
1421,23,Male,Marketing,No,6.86,40,Yes,4.28,Medium,6.5,8.27
1590,26,Male,HR,Hybrid,4.7,35,Yes,5.02,Low,5.2,2.32
